num,polygon
4,"[[20.8, 1.04], [43.47, 2.08], [63.02, 0.0], [65.23,5.6], [70.82, 7.8], [83.53, 7.8], [84.57, 18.2], [84.57, 7.8], [92.56, 7.02], [92.56, 7.8], [97.24, 24.96],[94.03,26.43],[92.56,29.64],[92.56,37.44],[84.57,37.44],[84.57,39.52],[0,39.52],[0,18.2],[0.98,14.04],[3.12,10.92],[6.24,9.04],[13.52,5.72]]"
4,"[[0.0, 0.0], [79.04, 0.0], [78.0, 5.2], [80.08, 9.36],[83.72,12.48],[78.0,31.62],[69.99,31.1],[61.98,30.06],[59.8,31.2],[58.86,33.7],[58.86,36.92],[39.31,34.84],[16.64,35.88],[13.52,31.72],[9.36,28.6],[4.89,27.25],[3.12,26.62],[0.83,24.23],[0,19.76]]"
4,"[[1.04, 12.48], [13.13, 7.28], [25.22, 3.64], [37.31,1.04], [49.4,0], [54.11, 9.88], [60.58, 18.72], [66.56, 27.56], [70.72, 37.44], [67.39, 48.46], [60.84, 57.2],[54.99,65.52],[49.4,74.88],[37.31,73.84],[25.22,71.24],[13.13,67.6],[1.04,62.4],[0.26,56.16],[0,49.92],[0.26,43.68],[1.04,37.44]]"
2,"[[0, 0.0], [30.16, 0], [30.16, 7.28], [29.95,7.28], [29.55,8.75], [28.95, 9.15], [28.08, 9.36], [2.08, 9.36], [1.21, 9.15], [0.61, 8.75], [0.21, 8.15],[0,7.28]]"
4,"[[0, 2.08], [10.4, 0], [9.88, 5.2], [9.62,10.4], [9.36,22.88], [1.04, 22.88], [0.78, 10.4], [0.52, 5.2]]"
4,"[[20.0, 1.0], [41.8, 2.0], [60.6, 0.0], [62.72,5.38], [68.1, 7.5], [80.32, 7.5], [81.32, 17.5], [81.32, 7.5], [89, 6.75], [89, 7.5], [93.5, 24],[90.41,25.41],[89,28.5],[89,36],[81.32,36],[81.32,38],[0,38],[0,17.5],[0.94,13.5],[3,10.5],[6,8.5],[13,5.5]]"
4,"[[0.0, 0.0], [76.0, 0.0], [75.0, 5.0], [77.0, 9.0],[80.5,12],[75,30.4],[67.3,29.9],[59.6,28.9],[57.5,30],[56.6,32.4],[56.6,35.5],[37.8,33.5],[16,34.5],[13,30.5],[9,27.5],[4.7,26.2],[3,25.6],[0.8,23.3],[0,19]]"
4,"[[1, 12.0], [12.625, 7], [24.25, 3.5], [35.875,1], [47.5,0], [52.025, 9.5], [58.25, 18], [64, 26.5], [68, 36], [64.8, 46], [58.5, 55],[52.875,63],[47.5,72],[35.875,71],[24.25,68.5],[12.625,65],[1,60],[0.25,54],[0,48],[0.25,42],[1,36]]"
2,"[[0, 0.0], [29, 0], [29, 7], [28.8,7], [28.41,8.41], [27.84, 8.8], [27, 9], [2, 9], [1.16, 8.8], [0.59, 8.41], [0.2, 7.84],[0,7]]"
4,"[[0, 2.0], [10, 0], [9.5, 5], [9.25,10], [9,22], [1, 22], [0.75, 10], [0.5, 5]]"
4,"[[19.2, 0.96], [40.13, 1.92], [57.98, 0.0], [60.21,5.16], [65.42, 7.2], [77.31, 7.2], [78.31, 16.8], [78.31, 7.2], [85.44, 6.48], [85.44, 7.2], [89.76, 22.8],[86.74,24.16],[85.44,27.36],[85.44,34.92],[78.31,34.92],[78.31,37.12],[0,37.12],[0,16.8],[0.9,13.92],[2.88,11.04],[5.76,9.12],[12.48,6.24]]"
4,"[[0.0, 0.0], [72.96, 0.0], [71.98, 4.8], [73.96, 8.64],[77.31,11.52],[71.98,29.9],[64.34,29.45],[56.9,28.56],[54.72,29.76],[53.82,32.16],[53.82,35.28],[36.0,33.22],[15.24,34.22],[12.48,30.24],[8.64,27.36],[4.51,26.08],[2.88,25.54],[0.77,23.28],[0,18.84]]"
4,"[[0.96, 11.52], [12.14, 6.72], [23.33, 3.36], [34.52,0.96], [45.71,0], [49.95, 9.12], [55.92, 17.28], [61.44, 25.44], [65.28, 34.56], [61.92, 44.64], [55.68, 53.12],[50.77,60.84],[45.71,69.12],[34.52,68.16],[23.33,65.76],[12.14,62.4],[0.96,57.12],[0.24,51.84],[0,45.6],[0.24,39.36],[0.96,34.56]]"
2,"[[0, 0.0], [27.84, 0], [27.84, 6.72], [27.65,6.72], [27.25,8.06], [26.69, 8.45], [25.8, 8.64], [1.92, 8.64], [1.11, 8.45], [0.57, 8.06], [0.19, 7.53],[0,6.72]]"
4,"[[0, 1.92], [9.6, 0], [9.12, 4.8], [8.88,9.6], [8.64,21.12], [0.96, 21.12], [0.72, 9.6], [0.48, 4.8]]"
