num,polygon
1,"[[9, 0], [13, 1], [17, 5], [18, 9], [17, 13], [13, 17], [9, 18], [5, 17], [1, 13], [0, 9], [1, 5], [5, 1]]"
1,"[[2, 0], [6, 0], [8, 2], [8, 9], [6, 11], [2, 11], [0, 9], [0, 2]]"
1,"[[0, 0], [5, 0], [5, 6], [0, 6]]"
1,"[[5, 0], [7, 0], [4, 3], [2, 6], [2, 9], [4, 12], [7, 15], [5, 15], [2, 12], [0, 9], [0, 6], [2, 3]]"
1,"[[0, 0], [8, 0], [8, 17], [0, 17]]"
3,"[[0, 0], [5, 0], [6, 2], [6, 3], [3, 3], [3, 6], [8, 6], [8, 11], [0, 11]]"
1,"[[0, 0], [11, 0], [0, 10]]"
1,"[[6, 0], [6, 2], [11, 2], [11, 0], [23, 0], [20, 3], [20, 5], [8, 10], [8, 15], [5, 15], [0, 7]]"
1,"[[6, 0], [15, 0], [15, 12], [0, 12], [0, 8], [6, 8]]"
1,"[[0, 0], [6, 0], [6, 16], [2, 16], [2, 7], [0, 5]]"
1,"[[6, 2], [11, 0], [15, 5], [12, 10], [12, 13], [0, 13], [0, 11], [2, 10], [3, 10]]"
1,"[[0, 8], [0, 2], [3, 0], [5, 3], [8, 6], [11, 6], [11, 8]]"
1,"[[0, 5], [4, 0], [6, 0], [2, 5], [6, 10], [4, 10]]"
1,"[[11, 0], [17, 0], [17, 5], [15, 5], [15, 8], [17, 8], [17, 10], [14, 10], [3, 15], [0, 12], [2, 11], [3, 8], [6, 8]]"
1,"[[0, 0], [19, 0], [19, 13], [6, 13], [6, 11], [8, 11], [3, 9], [3,3],[2, 3], [2, 13],[0, 13]]"
2,"[[0, 8], [0, 0], [5, 0], [12, 7], [12, 8]]"
1,"[[0, 13], [0, 0], [10, 0], [10, 13]]"
1,"[[0, 5], [0, 0], [7, 0], [7, 5]]"
