"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[5.0, -5.0], [9.0, -5.0], [19.0, -5.0], [19.0, 4.0], [19.0, 5.0], [19.0, 14.0], [9.0, 14.0], [5.0, 14.0], [-5.0, 14.0], [-5.0, 5.0], [-5.0, 4.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[5.0, -5.0], [12.0, 2.0], [12.0, 12.0], [2.0, 12.0], [-2.0, 12.0], [-12.0, 12.0], [-12.0, 2.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 9.0], [0.0, 0.0], [14.0, 9.0]]","[[5.0, -5.0], [5.0, 4.0], [5.0, 5.0], [5.0, 14.0], [-5.0, 14.0], [-19.0, 5.0], [-19.0, -5.0], [-9.0, -5.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 14.0], [0.0, 14.0]]","[[5.0, -5.0], [9.0, -5.0], [19.0, -5.0], [19.0, 5.0], [19.0, 9.0], [19.0, 19.0], [9.0, 19.0], [5.0, 19.0], [-5.0, 19.0], [-5.0, 9.0], [-5.0, 5.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [10.0, 4.0], [10.0, 9.0], [0.0, 9.0]]","[[5.0, -5.0], [15.0, -5.0], [15.0, 4.0], [15.0, 5.0], [15.0, 14.0], [5.0, 14.0], [-5.0, 10.0], [-5.0, 5.0], [-5.0, 0.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [5.0, 0.0], [5.0, 9.0], [0.0, 9.0]]","[[0.0, -5.0], [5.0, -5.0], [10.0, -5.0], [10.0, 4.0], [10.0, 5.0], [10.0, 14.0], [5.0, 14.0], [0.0, 14.0], [-5.0, 14.0], [-5.0, 5.0], [-5.0, 4.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 14.0]]","[[5.0, -5.0], [19.0, 9.0], [19.0, 19.0], [9.0, 19.0], [5.0, 19.0], [-5.0, 19.0], [-5.0, 9.0], [-5.0, 5.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 14.0]]","[[5.0, -5.0], [5.0, 5.0], [5.0, 9.0], [5.0, 19.0], [-5.0, 19.0], [-15.0, 19.0], [-15.0, 9.0], [-15.0, -1.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 8.0], [4.0, 0.0], [8.0, 8.0]]","[[-3.0, -5.0], [5.0, -5.0], [5.0, 5.0], [1.0, 13.0], [-9.0, 13.0], [-13.0, 5.0], [-13.0, -5.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[0.0, 0.0], [14.0, 0.0], [7.0, 12.0]]","[[5.0, -5.0], [12.0, 7.0], [12.0, 17.0], [2.0, 17.0], [-2.0, 17.0], [-12.0, 17.0], [-12.0, 7.0], [-5.0, -5.0]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[3.0, -4.5], [7.0, -4.5], [17.0, -4.5], [17.0, 4.5], [17.0, 5.5], [17.0, 14.5], [7.0, 14.5], [3.0, 14.5], [-7.0, 14.5], [-7.0, 5.5], [-7.0, 4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[7.0, -4.5], [21.0, -4.5], [21.0, 4.5], [21.0, 13.5], [7.0, 13.5], [-7.0, 13.5], [-7.0, 4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[7.0, -4.5], [14.0, 2.5], [14.0, 11.5], [0.0, 11.5], [-14.0, 11.5], [-14.0, 2.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 9.0], [0.0, 0.0], [14.0, 9.0]]","[[7.0, -4.5], [7.0, 4.5], [7.0, 13.5], [-7.0, 13.5], [-21.0, 4.5], [-21.0, -4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 14.0], [0.0, 14.0]]","[[7.0, -4.5], [21.0, -4.5], [21.0, 4.5], [21.0, 9.5], [21.0, 18.5], [7.0, 18.5], [-7.0, 18.5], [-7.0, 9.5], [-7.0, 4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [10.0, 4.0], [10.0, 9.0], [0.0, 9.0]]","[[3.0, -4.5], [7.0, -4.5], [17.0, -4.5], [17.0, 4.5], [17.0, 13.5], [3.0, 13.5], [-7.0, 9.5], [-7.0, 4.5], [-7.0, 0.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [5.0, 0.0], [5.0, 9.0], [0.0, 9.0]]","[[-2.0, -4.5], [7.0, -4.5], [12.0, -4.5], [12.0, 4.5], [12.0, 13.5], [7.0, 13.5], [-2.0, 13.5], [-7.0, 13.5], [-7.0, 4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 14.0]]","[[7.0, -4.5], [21.0, 9.5], [21.0, 18.5], [7.0, 18.5], [-7.0, 18.5], [-7.0, 9.5], [-7.0, 4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 14.0]]","[[7.0, -4.5], [7.0, 4.5], [7.0, 9.5], [7.0, 18.5], [-3.0, 18.5], [-7.0, 18.5], [-17.0, 18.5], [-17.0, 9.5], [-17.0, 8.5], [-17.0, -0.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 8.0], [4.0, 0.0], [8.0, 8.0]]","[[-1.0, -4.5], [7.0, -4.5], [7.0, 4.5], [3.0, 12.5], [-11.0, 12.5], [-15.0, 4.5], [-15.0, -4.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[0.0, 0.0], [14.0, 0.0], [7.0, 12.0]]","[[7.0, -4.5], [14.0, 7.5], [14.0, 16.5], [0.0, 16.5], [-14.0, 16.5], [-14.0, 7.5], [-7.0, -4.5]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0]]","[[3.0, -2.333333333333333], [7.0, -2.333333333333333], [17.0, -2.333333333333333], [17.0, 7.666666666666667], [10.0, 14.666666666666668], [0.0, 14.666666666666668], [-7.0, 7.666666666666667], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 9.0], [0.0, 9.0]]","[[7.0, -2.333333333333333], [21.0, -2.333333333333333], [21.0, 6.666666666666667], [14.0, 13.666666666666668], [0.0, 13.666666666666668], [-7.0, 6.666666666666667], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[7.0, -2.333333333333333], [14.0, 4.666666666666667], [7.0, 11.666666666666668], [-7.0, 11.666666666666668], [-14.0, 4.666666666666667], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 9.0], [0.0, 0.0], [14.0, 9.0]]","[[7.0, -2.333333333333333], [7.0, 6.666666666666667], [0.0, 13.666666666666668], [-14.0, 4.666666666666667], [-21.0, -2.333333333333333], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [14.0, 0.0], [14.0, 14.0], [0.0, 14.0]]","[[7.0, -2.333333333333333], [21.0, -2.333333333333333], [21.0, 11.666666666666668], [14.0, 18.666666666666668], [0.0, 18.666666666666668], [-7.0, 11.666666666666668], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [10.0, 4.0], [10.0, 9.0], [0.0, 9.0]]","[[3.0, -2.333333333333333], [7.0, -2.333333333333333], [17.0, -2.333333333333333], [17.0, 6.666666666666667], [10.0, 13.666666666666668], [0.0, 9.666666666666668], [-7.0, 2.666666666666667], [-7.0, -2.333333333333333]]"

"[[0.0, 0.0], [14.0, 0.0], [7.0, 7.0]]","[[0.0, 0.0], [5.0, 0.0], [5.0, 9.0], [0.0, 9.0]]","[[-2.0, -2.333333333333333], [7.0, -2.333333333333333], [12.0, -2.333333333333333], [12.0, 6.666666666666667], [5.0, 13.666666666666668], [0.0, 13.666666666666668], [-7.0, 6.666666666666667], [-7.0, -2.333333333333333]]"

